ID,Name,Website,Description,Geographical extent,"Geographic coverage
Country","Geographic coverage 
NUTS 2021","Responsible
Organization","Responsible 
Organization 
Category","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)",Status,Start Year,End Year,AI Classification (I),"AI Classification 
Subdomain (II)
(Main)","AI Classification 
Subdomain (II)
(Other I)","AI Classification 
Subdomain (II)
(Other II)","AI Classification 
Subdomain (II)
(Other III)",AI Keywords (III),Process Type,Application Type,Technology,Interaction,Data Scope 1,Data Scope 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source
116,Fuengirola Town Hall - measuring beach attendance, https://www.euroweeklynews.com/2020/05/04/costa-del-sols-fuengirola-will-use-artificial-intelligence-to-control-capacity-at-beaches-and-public-spaces/,"The Fuengirola Town Hall representatives aim to use Artificial Intelligence (AI) in order to control the capacity of beaches and other public spaces. The AI tool is developed by a local company. It allows for real-time information regarding the levels of attendance at beaches to be analysed in order to avoid crowds and minimise the risk of possible Covid-19 infections. This software works by using Artificial Intelligence sensors that are installed in streetlights. Then, virtual grids are created in which there is a maximum capacity for occupants.  The 3D volume of people entering and leaving these spaces is measured, as well as the amount of people entering the measurement grids. The results of the calculations are carried out in real time in order to warn citizens about means of occupancy (percentages and colours are used as visual warnings).",Local,Spain,ES,Municipality of Fuengirola,Local Government,"Recreation, culture and religion",Recreational and sporting services.,Implemented,2020,,Perception,Computer vision,Machine learning,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,G2G,Dynamic Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://www.euroweeklynews.com/2020/05/04/costa-del-sols-fuengirola-will-use-artificial-intelligence-to-control-capacity-at-beaches-and-public-spaces/
117,Chatbot  - Boost relations with citizens,https://www.youtube.com/watch?v=v5QvZWNy-5M&t=6s,"The City Council of Sant Just Desvern, a Catalan municipality in the Bajo Llobregat region with 17,200 inhabitants, has presented a chatbot with which this administration aims to streamline its processes and boost relations with its citizens.The first two available chatbots will take care of:
- the previous appointments of the City Council, so that waits will be reduced
- the management of the registration flyers",Across Countries,Spain,ES,Municipality of Sant Just Desvern,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2018,,Communication,Natural language processing,Machine learning,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,x,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.observatorio-empresas.vodafone.es/articulos/administraciones-publicas/chatbot-atencion-ciudadano-sant-just-desvern-perpinya/
118,VioGen - Forecast gender violence,http://www.interior.gob.es/documents/642012/1626283/articulo+violencia+de+genero/fd0e7095-c821-472c-a9bd-5e6cbe816b3d,"The Spanish polices uses VioGen, an algorithm that assesses the risk faced by victims of gender violence. Based on two tests to assess the risk of complainants or victims already sentenced, VioGén determines a level of risk of aggression that entails a specific degree of police protection , both before and after the trial or even when it does not occur. The figures support its success: since the implementation of this tool a decade ago, the recurrence of attacks has decreased by 25% according to the latest data. And if, in a generic way, recidivism in other neighboring countries reaches 35%, in Spain it is already at 15%. ",National,Spain,ES,Spanish Police,Central-Government,Public order and safety,Police Services,Implemented,2018,,Learning,Machine learning,Planning and Scheduling,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,,,,x,FALSE,,,,https://www.lavanguardia.com/tecnologia/20190519/462147339117/viogen-violencia-de-genero-violencia-machista-inteligencia-artificial-algoritmos.html https://algorithmwatch.org/en/story/viogen-algorithm-gender-violence/  
119,VeriPol - Detect false police reports,https://eticasfoundation.org/veripol-spotting-false-complaints-made-to-the-police/,"The filing of fake police reports is quite common in Spain, especially for low level crimes and it can bring significant consequences for individuals, wasting valuable police resources and is often used in combination with other fraudulent behaviour. Spanish national police have adopted the VeriPol. The system was designed to be integrated into the existing Spanish National Police information system called SIDENPOL, allowing for easier use and integration into existing work practices. The database of police reports was made available for the researchers in order to train the AI system on. For this, 1122 reports were used, including 534 true and 588 false reports. VeriPol exploits a combination of Natural Language Processing and machine learning classification algorithms, capable of estimating the probability of false police reports with significant accuracy. In addition to that, the system also enables insights into the differences between false and true police reports.",National,Spain,ES,Spanish Police,Central-Government,Public order and safety,Police Services,Implemented,2017,2019,Communication,Natural language processing,Machine learning,Automated reasoning,,text analysis,Enforcement,Smart Recognition processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://www.sciencedirect.com/science/article/abs/pii/S095070511830128X
120,Madrid - AI for saving lives of Psychiatric patients ,https://www.youtube.com/watch?v=NIDNmwYMjAE,"A field trial using AI was conducted with the objective to protect psychiatric patients from suicide or other health risks. To support doctors in making quick diagnostic decisions, San Carlos Hospital in Madrid, Fujitsu Laboratories of Europe, and Fujitsu Spain performed more than six months of AI field trials. These trials resulted in the development of the Advanced Clinical Research Information System.In this system, the medical histories of over 36,000 patients, completely anonymized for privacy reasons, and a large volume of open data, including over a million medical papers, are combined in a database. An AI engine analyzes the database and shows possible health risks for a patient.",National,Spain,ES,San Carlos Hospital,Central-Government,Health,Hospital services.,Pilot,2017,,Integration and Interaction,Automated reasoning,Knowledge representation,,,,Internal management,Internal primary processes,Artificial Intelligence,G2C,Historical Data,Historical Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://journal.jp.fujitsu.com/en/2016/12/09/01/
121,SIMPATICO Platform for PS iN Spain, ,"The SIMPATICO Platform is a software platform that uses advanced technical solutions and applies them to existing PA systems to simplify the interaction of citizens and companies with a wide range of public services. The value offered by the SIMPATICO Platform is the unique opportunities of delivering customer-centric, personalized services and of triggering a continuous optimization of services and processes, thus overcoming the existing barriers in the adoption of e-services. Used in Galicia (Spain). ",Across Countries,Spain,ES,Xunta de Galicia,Governmental,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2016,,Learning,Machine learning,Optimisation,,,,Public services and engagement,Service integration (various),Artificial Intelligence,G2C,Dynamic Data,Streaming Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://simpatico-project.com/ 
122,PDTI Urban Robotics Sewer Inspection, ,"The aspired robotics solution will be able to determine the state of the sewer in order to identify segments where the sewer’s functionality has been compromised, either by sediments or by structural defects. Other required functionalities of the technology include sewer monitoring and collecting samples of water, air and sediments. ",Local,Spain,ES,Barcelona,Local Government,Housing and community amenities,Housing development.,Pilot,2018,,Integration and Interaction,Robotics and Automation,Machine learning,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,G2B,Dynamic Data,Location Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,http://echord.eu/public/wp-content/uploads/2015/11/20141218_Challenge-Brief_Urban_Robotics.pdf 
123,The SCRIPT Project, ,"Recent development in robot-mediated rehabilitation has shown the potential of robotic devices for delivering repetitive training thus allowing for a large number of repetitions to be delivered during acute and chronic phases of stroke rehabilitation. While there is growing evidence that such technologies are beneficial to patient's recovery of functional and motor outcome, our goals are:1: To use such technologies at patient's home, enabling better management of chronic stroke as it allows to administer larger repetitions and frequent exercise which can in turn increase the recovery gains ",Across Countries,United Kingdom,UK,Univesrity of Hertfordshire,Academic-Research,Economic affairs,"General economic, commercial and labour affair",Pilot,2017,,Integration and Interaction,Robotics and Automation,Automated reasoning,,,,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://cordis.europa.eu/project/id/288698
124,Robotic System Da Vinci, https://www.davincisurgery.com/,The da Vinci Surgical Systems enable surgeons to perform delicate and complex operations through a few small incisions with robotic assisted surgery. ,Local,Spain,ES,IDVAL Santander (Cantabria),Private sector,Health,"Medical products, appliances and equipment.",Implemented,2010,,Integration and Interaction,Robotics and Automation,Computer vision,,,,Internal management,Internal primary processes,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://ec.europa.eu/regional_policy/en/projects/spain/the-da-vinci-surgical-system-bringing-robots-into-the-surgical-theatre
125,VI-DAS H2020," https://www.itas.kit.edu/english/projects_coen16_vi-das.php#:~:text=VI%2DDAS%20advances%20in%20computer,and%20ubiquitous%20sensors%2C%20primarily%20cameras.","VI-DAS advances in computer vision and machine learning will introduce non-invasive, vision-based sensing capabilities to vehicles and enable contextual driver behaviour modelling. The technologies will be based on inexpensive and ubiquitous sensors, primarily cameras. Predictions on outcomes in a scene will be created to determine the best reaction to feed to a personalised HMI component that proposes optimal behaviour for safety, efficiency and comfort. VI-DAS will employ a cloud platform to improve ADAS sensor and algorithm design and to store and analyse data at a large scale, thus enabling the exploitation of vehicle connectivity and cooperative systems. VI-DAS will address human error analysis by the study of real accidents in order to understand patterns and consequences as an input to the technologies. VI-DAS will also address legal, liability and emerging ethical aspects because with such technology comes new risks, and justifiable public concern. ",Across Countries,Spain,ES,Vicomtech,Private sector,Economic affairs,"General economic, commercial and labour affair",Pilot,2016,2019,Perception,Computer vision,Machine learning,,,,Public services and engagement,Service integration (various),Artificial Intelligence,G2B,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,http://www.vi-das.eu/about#inanutshell
126,Corpus Viewer," http://journal.sepln.org/sepln/ojs/ojs/index.php/pln/article/view/6117,
https://rua.ua.es/dspace/bitstream/10045/96627/1/PLN_63_28.pdf","The Corpus Viewer platform is based on natural language processing (PLN), machine learning (ML) and machine translation (MT) techniques to analyze structured metadata and unstructured textual data in large corpus of textual documents . The platform allows decision-makers and policy implementers the possibility to analyze the R + D + i information space (mainly patents, scientific publications and public aid) for the implementation of policies based on evidence and knowledge. It is based,modeling topics and graph analysis.  Corpus Viewer development began in 2016 and continues to advance thanks to the collaboration of various university research groups and companies and it is currently used by 3 public administrations: SEAD (Ministry of Economy), the Spanish Foundation for Science and Technology (FECYT) and the Secretary of State for Universities and Research, Development and Innovation (SEUIDI) ( Ministry of Science).",National,Spain,ES,Ministero Economia Y Impresa,Central-Government,Health,Public health services.,Pilot,2019,,Learning,Machine learning,Natural language processing,Knowledge representation,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2C,Dynamic Data,Streaming Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.plantl.gob.es/tecnologias-lenguaje/actividades/plataformas/Documents/corpus-viewer/manual-corpus-viewer-en.pdf
127,Trelleborg - Automated social welfare decisions,https://www.youtube.com/watch?v=lA1DaagdMy8,"Municipality of Trelleborg, AI is used to automate various social assistance decisions. The automated decision making system is able to process applications for homecare, sickness benefits, unemployment benefits and taxes and has been regarded as a successful example for others to follow. Various other Swedish municipalities are exploring how to implement the Trelleborg model to gain access to the same kinds of benefits. As a result of the automation process, the waiting time for citizens on their welfare applications has been significantly reduced. It has been mentioned that many case handling times for people in economically vulnerable situations has been reduced from 10 days to 1 day, with all financial assistance decisions done within 24 hours. In addition, two employees in the Trelleborg administration could be allocated to spend more time on other, value adding tasks such as handling more complex cases.  
",Local,Sweden,SE,Municipality of Trelleborg,Local Government,Social protection,Social protection n.e.c.,Implemented,2019,,Integration and Interaction,Robotics and Automation,Automated reasoning,,,,Adjudication,Taking decisions on benefits  ,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,x,,Open government capabilities,x,,,https://valcon.com/insights/trelleborg-robotics-solution/
128,Tengai - Robot in recruitment processes,https://www.tengai-unbiased.com/,"Municipality of Upplands-Bro experimented the robot Tengai in their recruitment processes since June 2019. Tengai is one of the first interviewer robots developed with the aim to make the recruitment process less biased than traditional interview practices would do. The robot is adopted by the recruitment and staffing agency of the municipality, which has already made their recruitment processes less biased. The Tengai robot is the result of a collaboration between the municipality staff and the AI consultancy Furhat Robotics. After the Tengai robot was released, within a week, it was decided to adopt its services permanently. Tengai firstly identify candidates with the highest general performance score, in order to make a shortlist for future selections. The robot then conducts the interviews to assess the candidates by analysing their behaviours, problem-solving capacities and other skills. If needed, the robot is able to ask follow-up questions. The interviews are then analysed, combined with the competency scores.  The recruiters of the municipality will conduct the final interview with candidates to assess their motivation. The first results following the adoption of the Tengai robot have been regarded as successful and brought significant media attention to the municipality due to the innovative approach to recruitment.",Local,Sweden,SE,Municipality of Upplands-Bro,Local Government,General public services,General public services n.e.c.,Pilot,2020,,Communication,Natural language processing,Machine learning,Audio processing,,speech recognition,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.upplands-bro.se/kommun--politik/om-kommunen/information-om-coronaviruset/nyheter-corona/2020-05-05-kommunen-tar-nasta-steg-i-fordomsfri-rekrytering-med-intervjuroboten-tengai.html
129,AIDA - Interpreting detailed plan provisions,https://asylumineurope.org/wp-content/uploads/2021/04/AIDA-SE_2020update.pdf,"In order to faster digitize Sweden's existing detail plans and get closer to a national plan database, the project will develop and implement an Artificial Intelligence in the work of interpreting detail plan regulations according to the National Board of Housing, Building and Planning's standard, faster digitize Sweden's existing detail plans and Creation of a national database. The goal is to reduce the digitization process by 20%, which would, taking into account all the detailed plans to be digitized, save several years of working time. In addition, both direct and indirect effects would contribute to Smart Built Environment's goals.",National,Sweden,SE,Örebro Municipality ,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",In development,2020,,Communication,Natural language processing,Machine learning,,,text analysis,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,G2B,Historical Data,Historical Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.smartbuilt.se/projekt/innovationer-och-nya-tillaempningar/aida/
130,Swedish Land Registry (SLR) - Fostering efficiency when dealing with land registry requests, ,"The Swedish Land Registry (SLR) needed to increase their efficiency when dealing with land registry requests. They now use AI to read and modernise documents. Many old, handwritten documents cannot be digitised with ease as it is hard to read the tekst. AI assists in reading these documents. ",National,Sweden,SE,Swedish Land Registry ,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2021,,Communication,Natural language processing,Computer vision,,,text analysis,Internal management,Internal primary processes,Artificial Intelligence,G2B,Dynamic Data,Location Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.gov.uk/government/case-studies/natural-language-processing-for-land-registry-documentation-in-sweden
131,SKOSA - Interpreting medical information, ,"The project, called Skosa, builds a general platform with a digital knowledge base with the help of various business experts such as doctors and other experts. It can then help administrators to analyze, structure and interpret medical information and use it in needs assessments.",National,Sweden,SE,Swedish Social Insurance Agency,Central-Government,Health,Hospital services.,Implemented,2020,,Reasoning,Knowledge representation,Machine learning,,,,"Analysis, monitoring and regulatory research",Information analysis processes,Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://computersweden.idg.se/2.2683/1.720144/forsakringskassan-ai-stod
132,Scapis - Prevention of heart- and lung-diseases,https://www.scapis.org/about/,"Prevention of heart- and lung-diseases. SCAPIS is the largest population study in Sweden within the cardiovascular and pulmonary system area. It is a world unique project that includes 30,000 patients and involves all six healthcare regions, university hospitals and a number of scientific players. The vision is to be able to individualize risk assessments as well as to prevent and postpone cardiovascular and pulmonary diseases in patients.
SCAPIS, Swedish CArdioPulmonary bioImage Study, is a population study around cardiovascular, epidemic and genetic research, initiated by Swedish researchers in 2007.
A pilot study was conducted in 2012 to ensure that the population study was possible to implement, and in 2014, the major SCAPIS study was initiated.
Göran Bergström, professor in cardiovascular research at the Sahlgrenska Academy in Gothenburg, started working on the project in 2008 and is currently the head of the study.",National,Sweden,SE,"six hospitals (Uppsala, Umeå, Linköping, Malmö/Lund, Gothenburg and Stockholm)",Central-Government,Health,Hospital services.,Implemented,2014,,Learning,Machine learning,Automated reasoning,,,,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://www.ai.se/en/scapis-ai-platform
133,Skatti - Answering system about population registration and income tax return,https://www.skatteetaten.no/en/person/taxes/tax-return/find-item/,"Skatti answers general questions about population registration and the income tax return for private individuals. Skatti does not give answers to questions about, for example, ongoing or closed cases, or get help with information from the Swedish Tax Agency's register.",National,Sweden,SE,Swedish Tax Agency (Skatteverket),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Not in use anymore,2017,,Communication,Natural language processing,Searching,,,Q&A,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Streaming Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.skatteverket.se/omoss/kontaktaoss/chattamedvardigitalamedarbetare.4.2cf1b5cd163796a5c8b403b.html
134,Stockholm3 - Diagnosing prostate cancer with OncoWatch,https://eithealth.eu/news-article/study-ai-system-effective-in-diagnosing-prostate-cancer/,"EIT Health has played a key role in accelerating the development and implementation of Stockholm3 and the new AI system, OncoWatch through network and financial support. As part of the development of OncoWatch, the AI system will be validated in 2020 in a nine-country multicentre study to assess its performance across different labs and in a wider range of digital pathology scanners. A first CE-marked product is expected to launch by the end of the year.https://eithealth.eu/project/oncowatch/",Local,Sweden,SE,Karolinska Institutet in Sweden,Academic-Research,Health,Hospital services.,Pilot,2020,,Learning,Machine learning,Computer vision,,,,Internal management,Internal support processes,Artificial Intelligence,G2G,Dynamic Data,Dynamic Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://sthlm3.se/stockholm3-in-english/
135,BFS - Plausibility check on quality and reliability of administrative data,https://www.experimental.bfs.admin.ch/expstat/en/home/innovation-data-science/plausi.html,"This project intends to extend and accelerate the plausibility checks in the Federal Office for Statistics (BFS) using machine learning algorithms while increasing the data quality. Data that appears to be either clearly wrong or at least questionable will be sent back to the data providers with a request for correction or comment. Until now, such plausibility checks were mostly carried out in two different ways: either by manual controls or by automated procedures using limit values ??and logical tests. This process of mutual plausi checks is very labor intensive. Machine learning can help to carry out the controls more quickly and more precisely.",National,Switzerland,CH,Federal Office for Statistics ,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",In development,2019,,Learning,Machine learning,,,,,Internal management,Internal primary processes,Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://www.experimental.bfs.admin.ch/expstat/de/home/innovative-datenwissenschaft/plausi.html
136,NOGAuto - Assign or control codes to companies for economic activities , ,"In 2017, the Swiss Federal Statistical Office (FSO) released its data innovation strategy to ensure to keep up with time and technology. NOGAuto is one of the main five projects, which has been retained in line with FSO’s data innovation strategy with the goal to augment and/or complement the existing basic official statistical production at the FSO.
This project is realised to automate the coding of the economic activity of enterprises using “supervised machine learning” methods applied to already available data within the FSO (e.g. data from surveys, descriptions in the commercial register, explanatory notes for classifications) to support coding.",National,Switzerland,CH,Federal Office for Statistics,Central-Government,Economic affairs,R&D economic affairs,Implemented,2017,,Learning,Machine learning,Automated reasoning,,,,Internal management,Internal primary processes,Artificial Intelligence,G2B,Historical Data,Historical Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.experimental.bfs.admin.ch/expstat/en/home/innovation-data-science/nogauto.html
137,Chatbot - Offer residents and tourism information and services from the administration,https://www.stadt.sg.ch/home/verwaltung-politik/verwaltung-dienste/chatbot.html,"Using a prototype, the city of St.Gallen tested the potential and acceptance of a chatbot in order to offer residents and tourism better access to information and services from the administration. 
By the end of 2018, various topics had been mapped in the chatbot. This includes the event calendar, information on parking spaces, the query of mobility information, the use of eUmzugCH, the query of information on disposal and the input of feedback to the programmers. 
The implementation in its own software environment, more extensive dialog options, the connection to the residence confirmation, the debt enforcement register extract and the extension of the deadline in the area of ??taxes will take place in 2019. Linked to this is the public test of the chatbot and subsequently a revision based on the knowledge gained from the public test. 
The bot is integrated in the urban app (mobileSG) and on the city's website",Local,Switzerland,CH,Municipality of St.Gallen,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2021,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,https://www.egovernment.ch/de/dokumentation/webpublikation/projekte/leistungen-fur-die-bevolkerung/chatbot-fur-die-offentliche-verwaltung/
138,Maxi - Chatbot answering questions on insurance, ,"The Social Insurance Aargau SVA has introduced the Maxi Chatbot in order to reduce the number of questions received daily. The chatbot can answer general questions without sensitive data content. In the future, all further emails should run through automated and intelligent (learning) triage and further processing. To do this, requests with personal data must be correctly triaged by the chatbot and, depending on the type of request, directly trigger a process on the specialist application. With the introduction of the ""Maxi"" chatbot, remedial measures were taken and mail inquiries reduced by around 30%.",Regional,Switzerland,CH,Social Insurance Institute of Canton of Aargau,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2021,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,x,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.previon.ch/projekte/maxi-der-clevere-chatbot-der-sva-aargau
139,"Chatbot - Security institution information, find the ones entitled to premium reductions",https://www.svasg.ch/news/meldungen/20190329_leader-award.php,"In the Canton of St. Gallen, a Chatbot has been developed in the social security institution (SVA) organization to provide information for citizens about their services ",Regional,Switzerland,CH,Social Insurance Institute of St.Gallen,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2019,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,,,https://www.leaderdigital.ch/news/sva-will-chatbot-angebot-ausbauen-2718.html 
140,Refugees - Assigning asylum seekers,https://immigrationlab.org/2018/05/26/switzerland-launches-program-test-ai-refugee-integration/,"The Swiss State Secretariat for Migration is testing a new, data-driven method for assigning asylum seekers to cantons across the country. Asylum seekers in the pilot program will be assessed by an algorithm designed to maximize their chances of finding a job. The algorithm will allow officials to send individuals to the canton that best fits their profile, rather than allocate them randomly, as under the current system. The program will then follow these asylum seekers over several years, comparing their employment rates to those of others who entered the country at the same time. The pilot is including two thousand people, half placed in cantons with the guidance of the algorithm and half placed randomly. 
The algorithm’s recommendations take into account constraints such as the limited space in a canton, and placement officials make the final decision in each case. The placement algorithm was developed by the Immigration Policy Lab (IPL), which has branches at Stanford University and ETH Zurich, and an affiliated researcher from Dartmouth College",National,Switzerland,CH,Swiss State Secretariat for Migration,Central-Government,Public order and safety,Public order and safety n.e.c.,In development,2021,,Reasoning,Automated reasoning,Knowledge representation,,,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,x,,,,FALSE,,,,https://www.srf.ch/news/schweiz/jobs-fuer-fluechtlinge-algorithmus-verteilt-neu-asylbewerber-auf-kantone
141,"DVSA MOT -  Intelligent, data-driven approach to better target Driver and Vehicle Standards Agency (DVSA) resources", ,"The Driver and Vehicle Standards Agency (DVSA) wanted to use a more intelligent, data-driven approach to better target their resources and ensure annual inspection (MOT) standards remained high.",National,United Kingdom,UK,Driver and Vehicle Standards Agency,Central-Government,Economic affairs,Transport,Pilot,2019,,Learning,Machine learning,Optimisation,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://www.gov.uk/government/case-studies/how-the-department-for-transport-used-ai-to-improve-mot-testing
142,"HART - Assessment risk tool, predictive policing based on person data",https://www.tandfonline.com/doi/full/10.1080/13600834.2018.1458455,"The Harm Assessment Risk Tool (HART) puts information on a person's past offending history, age, postcode and other background characteristics through algorithms that then classify them as a low, medium or high risk. It is used by the police of Durham and was one of the first reported cases of predictive policing used in the police. ",National,United Kingdom,UK,Durham city police,Local Government,Public order and safety,Police Services,Pilot,2018,,Reasoning,Automated reasoning,Knowledge representation,,,,Enforcement,Predictive enforcement processes,Artificial Intelligence,G2G,Dynamic Data,Streaming Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,x,x,,,,FALSE,,,,https://www.tandfonline.com/doi/pdf/10.1080/13600834.2018.1458455
143,Amelia - Chatbot helping local residents find city services,https://www.intelligentcio.com/eu/2021/06/10/amelia-hired-by-centric-to-transform-citizen-services-with-conversational-ai/,"Amid budget cuts, the Enfield Council in North London emploies Amelia, an avatar and chatbot personal assistant from IPsoft. Amelia uses Artificial Intelligence, machine-learning algorithms, and a natural language processor to help local residents find city services. ",Local,United Kingdom,UK,London Borough of Enfield,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2021,,Communication,Natural language processing,Machine learning,Automated reasoning,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,x,,x,x,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.ukauthority.com/articles/enfield-joins-microsoft-in-citizenbot-project/
144,Babylon - Health interactive symptom checker,https://www.babylonhealth.com/us/what-we-offer/chatbot,"Babylon's interactive symptom checker asks you questions to analyse your condition. Babylon's AI system has been created by experienced doctors and scientists using the latest advances in deep-learning. Much more than a searchable database, it assesses known symptoms and risk factors to provide informed, up-to-date medical information.",National,United Kingdom,UK,National Health Service,Central-Government,Health,"Medical products, appliances and equipment.",Implemented,2021,,Reasoning,Automated reasoning,Knowledge representation,,,,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.babylonhealth.com/
145,TravelBot - Chatbot for travel information,https://www.facebook.com/tfltravelbot/,"The new social media tool, which is powered by Artificial Intelligence, can ""chat"" with customers using Messenger and instantly tell them when their bus is due to arrive, provide service updates and Tube maps. The TravelBot can also link direct to a customer service agent, making customer service queries easier than ever.",Local,United Kingdom,UK,Transport for London,Local Government,Economic affairs,"General economic, commercial and labour affair",Implemented,2021,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,,x,x,x,FALSE,FALSE,,,,,,,,FALSE,,,,https://tfl.gov.uk/info-for/media/press-releases/2017/june/tfl-launches-new-social-media-travelb
